date,value
1569888000000,3183514.516308785
1572566400000,3656841.6530880933
1575158400000,4219219.633808136
1577836800000,4065473.0507864957
1580515200000,3999014.9084224706
1583020800000,3957737.8696727757
1585699200000,3880665.6433134084
1588291200000,3209681.5025949483
1590969600000,3539489.3112282758
1593561600000,3602440.230167866
1596240000000,3741883.9496078496
1598918400000,3241241.8109467034
1601510400000,3172128.205260039
1604188800000,3663436.762450457
1606780800000,4193565.421006203
1609459200000,4118902.493984223
1612137600000,4102916.146802426
1614556800000,4027309.863777161
1617235200000,3843386.724772692
1619827200000,3187745.5109190946
1622505600000,3529207.875741244
1625097600000,3580518.9592618947
1627776000000,3718486.71706605
1630454400000,3223298.828101397
1633046400000,3108272.5723381047
1635724800000,3607850.52200985
1638316800000,4175872.2823386197
1640995200000,4046892.1679129605
1643673600000,3930056.8930952554
1646092800000,3931038.0732989316
1648771200000,3874849.712479115
1651363200000,3199786.487317324
1654041600000,3537964.893724919
1656633600000,3625643.8436946874
1659312000000,3747537.543063164
1661990400000,3244820.184758902
1664582400000,3202133.427837849
1667260800000,3684125.168878794
1669852800000,4200925.192581892
1672531200000,4104456.5118064885
1675209600000,4093755.1254675393
1677628800000,4033566.3954322343
1680307200000,3847565.174412728
1682899200000,3200825.1194145684
1685577600000,3525674.8909695153
1688169600000,3584295.6545572286
1690848000000,3723727.9245095258
1693526400000,3225295.3325166707
1696118400000,3099781.95939827
1698796800000,3609095.858250857
1701388800000,4171844.5161347394
1704067200000,4095427.977400542
1706745600000,4018126.556832314
1709251200000,3974080.7866139417
1711929600000,3883699.3486399655
1714521600000,3183445.4104723935
1717200000000,3549894.033163071
1719792000000,3601798.854402304
1722470400000,3742617.3301851754
1725148800000,3229018.05165577
